"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","gbifID"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.421664,24.703874,2014,6,30,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864121316"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.540586,25.171058,2014,7,6,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864121596"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.054222,23.1585,2014,7,3,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864121609"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.351389,24.733611,2014,7,9,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864121675"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.0798,23.1424,2014,7,9,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864121702"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.404498,24.674613,2014,7,19,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864122167"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.544278,25.176778,2014,7,30,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864122646"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.751253,24.618379,2014,10,14,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864124336"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.409225,24.690092,2014,10,27,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864124776"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.406895,24.659836,2013,5,20,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864113963"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.404724,24.677221,2013,5,30,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864114178"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.428351,24.649828,2013,6,7,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864114427"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.34957,24.7185,2013,6,10,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864114505"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.538483,25.180418,2013,6,29,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864114800"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",120.797828,23.665378,2013,8,9,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864115407"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.122389,24.537806,2011,8,15,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864112067"
