"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","type","locality","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.138497,22.44505,"Tai Po",2020,1,15,"cdround","https://www.inaturalist.org/observations/44833871","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2620089639","44833871",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.137721,22.445468,"Tai Po",2020,3,14,"cdround","https://www.inaturalist.org/observations/48859823","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641363144","48859823",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.138433,22.445133,"Tai Po",2020,4,18,"cdround","https://www.inaturalist.org/observations/44104863","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2611330868","44104863",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.13847,22.445093,"Tai Po",2020,4,18,"cdround","https://www.inaturalist.org/observations/46810786","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2633970849","46810786",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.120869,22.504212,"North",2020,5,28,"cdround","https://www.inaturalist.org/observations/48999752","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641608398","48999752",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",121.747572,25.001914,"Taipei",2020,9,2,"cdround","https://www.inaturalist.org/observations/58494470","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2862377610","58494470",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.126985,22.417316,"Tai Po",2019,4,28,"cdround","https://www.inaturalist.org/observations/23813755","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070288579","23813755",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.138519,22.445012,"Tai Po",2019,4,28,"","https://www.inaturalist.org/observations/23852835","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070491629","23852835",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.004096,22.403687,"Tai Po",2019,6,22,"cdround","https://www.inaturalist.org/observations/27421291","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2549975515","27421291",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",113.930626,22.273133,"Islands",2019,7,12,"cdround","https://www.inaturalist.org/observations/46459093","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626162358","46459093",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.043811,22.531403,"North",2019,7,25,"cdround","https://www.inaturalist.org/observations/29579229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067601651","29579229",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.1847,22.57381,"North",2019,7,25,"cdround","https://www.inaturalist.org/observations/29579234","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067760641","29579234",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.140194,22.445795,"Tai Po",2019,8,27,"cdround","https://www.inaturalist.org/observations/31762421","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397625227","31762421",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",121.648932,25.145036,"Taipei",2019,8,13,"cdround","https://www.inaturalist.org/observations/48522115","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641366591","48522115",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.138505,22.445132,"Tai Po",2019,9,21,"","https://www.inaturalist.org/observations/34591588","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2444994608","34591588",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",105.277602,20.761959,"Hoa Binh",2019,11,10,"cdround","https://www.inaturalist.org/observations/35519881","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574225412","35519881",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",113.890663,22.282951,"Islands",2018,11,18,"cdround","https://www.inaturalist.org/observations/78244155","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113623373","78244155",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.141126,22.44798,"Tai Po",2017,8,12,"","https://www.inaturalist.org/observations/7471109","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1586935252","7471109",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",113.372178,23.040542,"Guangdong",2017,9,17,"cdround","https://www.inaturalist.org/observations/60941449","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2882965560","60941449",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.183526,22.528216,"North",2016,8,28,"cdround","https://www.inaturalist.org/observations/5387253","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1586090593","5387253",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.167903,22.492826,"North",2015,4,22,"cdround","https://www.inaturalist.org/observations/15473741","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891345297","15473741",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.181103,22.55342,"North",2015,6,9,"cdround","https://www.inaturalist.org/observations/27311810","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2269320468","27311810",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",118.091807,24.454716,"Fujian",2015,9,26,"cdround","https://www.inaturalist.org/observations/69144924","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039434594","69144924",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.127951,22.436656,"Tai Po",2013,9,10,"","https://www.inaturalist.org/observations/917261","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891359966","917261",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.176831,22.489621,"Tai Po",2013,9,17,"cdround","https://www.inaturalist.org/observations/45971759","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626305890","45971759",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",114.072222,22.415556,"Yuen Long",2012,6,25,"cdround","https://www.inaturalist.org/observations/11445713","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1839268703","11445713",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",118.311572,24.476801,NA,2012,11,23,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864113294",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Myrrophis chinensis",105.635401,20.315653,"Ninh Binh",2011,10,16,"","https://www.inaturalist.org/observations/147281","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1586084231","147281",NA,NA,NA,NA,NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",117.051336,23.429405,"Guangdong Province",2000,1,4,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009542","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039456852","YPM HERR 009542","ASIA","10% form.->70% alc.","PhysicalObject","between Yun Ao and Dong Ao",NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",118.430444,25.805237,"Guangdong Province",1999,7,11,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009534","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039455292","YPM HERR 009534","ASIA","10% form.->70% alc.","PhysicalObject","just NE of Houzhai",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",113.990976,22.267564,"Hong Kong",1990,6,29,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175953","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476711607","R-175953","ASIA","whole animal (ethanol)",NA,"Lantau,Mui Wo,Tai Tei Tong",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",113.996604,22.266025,"Hong Kong",1990,7,2,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-175951","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476711605","R-175951","ASIA","whole animal (ethanol)",NA,"Lantau,Mui Wo",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",121.537798,25.025979,"Taipei Special Municipality",1990,9,21,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-181458","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476643185","R-181458","ASIA","whole animal (ethanol)",NA,"Taiwan,Taipei Co",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",113.893945,22.281546,"Hong Kong",1988,5,7,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173516","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476707931","R-173516","ASIA","whole animal (ethanol)",NA,"San Shek Wan","New Territories",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",112.45,23.05,"Guangdong",1986,5,9,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-174885","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712305","R-174885","ASIA","whole animal (ethanol)",NA,"Zhaoqing",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",114.132243,22.458593,"Hong Kong",1986,9,1,"txmatfuz,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-172701","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712544","R-172701","ASIA","whole animal (ethanol)",NA,"Lam Tseun Valley","New Territories",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",121.5307,25.1213,"Taipei Special Municipality",1967,12,NA,"",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543490059","144017","ASIA","Alcohol","PhysicalObject","Tien Mou",NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",117.43333,28.1,"Jiangxi Province",1936,6,30,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23814","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145550307","MVZ:Herp:23814","ASIA","whole organism",NA,"Hong-San, SE Kiangsi Prov.",NA,850,0
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",117.11667,24.28333,"Guangdong Province",1936,6,8,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23822","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145550372","MVZ:Herp:23822","ASIA","whole organism",NA,"Mei-Hsien [=Ka-Yang, Moejen], E Kwantung Prov.",NA,200,0
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",118.174,26.645,"Fujian",1926,4,1,"rdatunl,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-45967","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476690651","R-45967","ASIA","whole animal (ethanol)",NA,"Yenping,Fukien province,China",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",113.25,23.117,"Guangdong",1886,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-33514","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476669964","R-33514","ASIA","whole animal (ethanol)",NA,"Canton: China",NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",121.524292,25.047142,"Taipei Special Municipality",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543456385","113710","ASIA","Alcohol","PhysicalObject","Taipei",NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",118.084192,24.493142,"Fujian Prov.",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543663972","74515","ASIA","Alcohol","PhysicalObject","Amoy",NA,NA,NA
"861d3d64-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Myrrophis chinensis",117.104551,23.450667,"Guangdong Province",NA,NA,NA,"osiic,inmafu","http://collections.peabody.yale.edu/search/Record/YPM-HERR-009527","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1039482800","YPM HERR 009527","ASIA","10% form.->70% alc.","PhysicalObject","just NE of Shan Ao",NA,NA,NA
