"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.13022,22.433309,"Tai Po",2016,9,23,"","https://www.inaturalist.org/observations/5672733","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1457640838","5672733",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.130762,22.432649,"Tai Po",2015,6,15,"","https://www.inaturalist.org/observations/1690751","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880661295","1690751",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",114.129764,22.433398,"Tai Po",2015,9,18,"","https://www.inaturalist.org/observations/2641430","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880662587","2641430",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",105.636212,21.458533,"Vinh Phuc",2013,7,13,"","https://www.inaturalist.org/observations/30864014","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850573433","30864014",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius boulengeri",105.094106,22.96356,"Ha Giang",2009,3,7,"cdround","https://www.inaturalist.org/observations/55563058","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2980822437","55563058",NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Hebius boulengeri",107.889133,21.846233,"Guangxi",2005,4,18,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687013410","311531","ASIA","ETOH - 1; tissue - 100","Shiwan Dashang Nature Reserve (Near town of Fulong)",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Hebius boulengeri",107.87744,21.84141,"Guangxi",2005,4,22,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687016642","311532","ASIA","tissue - 100; ETOH - 1","Shiwan Dashang Nature Reserve (Near town of Fulong)",NA,NA,NA
"217b0d4f-c87e-4063-b6c5-78277e40e866","PRESERVED_SPECIMEN","PRESENT","Hebius boulengeri",105.63333,21.46667,"Province de Vinh Phuc",1997,6,1,"gass84,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","440163391","1997.3307","ASIA",NA,"Tam Dao",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hebius boulengeri",106.849655,34.907341,"Hong Kong",1991,8,29,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176503","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476698473","R-176503","ASIA","whole animal (ethanol)","Shek Kong Catchwater between Tunnel 1 and Kap Lung","New Territories",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hebius boulengeri",114.074344,22.424693,"Hong Kong",1985,9,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-171462","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476797778","R-171462","ASIA","whole animal (ethanol)","Hong Kong,New Territories,Shek Kong Catchwater","New Territories",NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Hebius boulengeri",117.43333,28.1,"Jiangxi Province",1936,6,30,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23622","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145548170","MVZ:Herp:23622","ASIA","whole organism","Hong San, SE Kiangsi",NA,850,0
