"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","locality","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.137222,22.408933,"Tsuen Wan",2019,4,6,"cdround","https://www.inaturalist.org/observations/22260241","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2236272737","22260241",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.200195,22.58198,"Guangdong",2019,7,27,"","https://www.inaturalist.org/observations/29694231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2992779397","29694231",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.131073,22.416606,"Tsuen Wan",2018,10,8,"cdround","https://www.inaturalist.org/observations/19751697","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990541630","19751697",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.12411,22.425608,"Tai Po",2015,3,17,"","https://www.inaturalist.org/observations/1690743","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1571057351","1690743",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.130204,22.433472,"Tai Po",2015,6,8,"","https://www.inaturalist.org/observations/1690752","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891354557","1690752",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.130177,22.433472,"Tai Po",2015,8,24,"","https://www.inaturalist.org/observations/2641431","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1291069248","2641431",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.130826,22.432332,"Tai Po",2013,5,30,"","https://www.inaturalist.org/observations/917248","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891359960","917248",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.128723,22.409124,"Tsuen Wan",2013,7,6,"","https://www.inaturalist.org/observations/475383","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1052567165","475383",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",114.128943,22.405759,"Tsuen Wan",2013,7,13,"cdround","https://www.inaturalist.org/observations/47263213","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634072541","47263213",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Opisthotropis kuatunensis",113.920326,22.253989,"Islands",2011,7,12,"cdround","https://www.inaturalist.org/observations/31875","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1457580760","31875",NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis kuatunensis",113.926802,22.257886,"Hong Kong",1993,5,19,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476688139","R-179477",300,0,"ASIA","whole animal (ethanol)","Hong Kong:Lantau Tei Tong Tsai",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Opisthotropis kuatunensis",114.146541,22.389132,"Hong Kong",NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173028","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476706994","R-173028",NA,NA,"ASIA","whole animal (ethanol)","Shing Mun","New Territories"
