"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.723191,20.240509,"Ninh Binh",2017,10,29,"cdround","https://www.inaturalist.org/observations/8599435","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802639789","8599435",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",111.904492,23.464995,"Guangdong",2015,8,21,"cdround","https://www.inaturalist.org/observations/38984304","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574091821","38984304",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",105.629935,22.388289,"B<U+1EAF>c K<U+1EA1>n",2013,7,16,"","https://www.inaturalist.org/observations/30863699","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2350443035","30863699",NA,NA,NA,NA,NA,NA
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",101.9833,21.6,"Phongsali",2009,2,19,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/80967","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","895454158","80967","ASIA","Boun Neua","Houay Lak Sao Jet (""km 27 stream"") km-stone 27 from Phongsaly to Meuang Boun Nua",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",107.889133,21.846233,"Guangxi",2005,4,23,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686679795","311528","ASIA",NA,"Shiwan Dashang Nature Reserve (Near town of Fulong)","tissue - 100; ETOH - 1",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",107.863483,21.845783,"Guangxi",2005,4,19,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686681317","311524","ASIA",NA,"Shiwan Dashang Nature Reserve (Near town of Fulong)","ETOH - 1; tissue - 100",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",107.86395,21.843733,"Guangxi",2005,4,19,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686689521","311525","ASIA",NA,"Shiwan Dashang Nature Reserve","ETOH - 1; tissue - 100",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",107.859917,21.8608,"Guangxi",2005,4,19,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687014762","311523","ASIA",NA,"Shiwan Dashang Nature Reserve","tissue - 100; ETOH - 1",NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",105.9636,23.1223,"Guangxi",2004,9,19,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686697022","291937","ASIA","Jing Xin","Provincial Nature Reserve, Camp site","tissue - 100; ETOH - 1",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","HUMAN_OBSERVATION","PRESENT","Ahaetulla prasina",113.101,22.9919,"Guangdong",1991,4,1,"txmathi","http://mczbase.mcz.harvard.edu/guid/MCZ:HerpOBS:15","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1086719915","15","ASIA",NA,"Dinghushan Man and Biosphere Reserve","digital voucher (image)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",112.533,23.1667,"Guangdong",1986,5,5,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-174889","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476712410","R-174889","ASIA",NA,"Dinghushan, ca 180m.","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",113.989091,22.194916,"Hong Kong",1971,1,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173303","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476709728","R-173303","ASIA",NA,"Shek Kwu Chau","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",103.216667,21.25,NA,1939,1,15,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-45269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476699139","R-45269","ASIA",NA,"Ban Nam Khueng,40miles N. of Ban Houei Sai,Laos,Indochina","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",109,24,"Guangxi Zhuang",1929,4,18,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-32421","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476643299","R-32421","ASIA",NA,"Kwangsi, Lo-shiang","whole animal (ethanol)",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Ahaetulla prasina",102,25,"Yunnan",1922,1,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-17582","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476659888","R-17582","ASIA",NA,"SE Yunnan,Hokeo","whole animal (ethanol)",NA,NA
